Battery_ID,筛选分类,split,ordinal,SOH,capacity_SOH,10%_CHA_1.5A__R0,10%_CHA_3.0A__R0,50%_CHA_1.5A__R0,50%_CHA_3.0A__R0,50%_DCH_3.0A__R0,90%_CHA_1.5A__R0,90%_DCH_3.0A__R0,10%_CHA_1.5A__R1,10%_CHA_3.0A__R1,50%_CHA_1.5A__R1,50%_CHA_3.0A__R1,50%_DCH_3.0A__R1,90%_CHA_1.5A__R1,90%_DCH_3.0A__R1,10%_CHA_1.5A__R2,10%_CHA_3.0A__R2,50%_CHA_1.5A__R2,50%_CHA_3.0A__R2,50%_DCH_3.0A__R2,90%_CHA_1.5A__R2,90%_DCH_3.0A__R2
339,A完整,train,16,75.9,75.9,25.29084259626453,25.375478300434903,23.53820751170487,23.47243440916404,24.23340308587807,32.06554404950689,32.398394046979874,16.78296473603243,16.15178010926797,10.793583470837255,10.862162575572382,10.755496460748285,16.6648229369157,15.228651522535774,9.94329687166074,8.795685383548891,4.380150349622039,3.975471756133407,4.795879372579033,5.414213226647806,4.713611033473467
339,A完整,train,17,74.8,74.8,25.8613280836732,25.885960161682465,24.59759584080508,24.464389311611423,24.67359502999922,29.97534139396306,29.3431907356271,16.812333633924673,16.233859295256373,10.48828041506018,10.581171155801002,11.202965444055378,20.422969255931367,19.590732696312923,9.790661643285514,8.581299409387594,4.36877657410862,4.0038310229550405,4.82458121967446,5.486964624185283,4.7975595463619
339,A完整,train,18,73.8,73.8,25.93915929160272,26.309366808651973,25.2750311251588,24.03360945517751,24.89356166703596,34.18713227560502,32.28622789915743,17.316719625256813,16.441735457249557,10.552904791089986,11.737745350319376,11.6671667133291,17.713895732028515,18.262702617168788,9.77141033266144,8.286284131656025,4.445032203268855,4.06513015271899,4.895271713365817,5.650822361580279,4.925283239885177
339,A完整,train,19,72.8,72.8,28.89682365656448,28.65447759895081,26.620117861079617,26.95137868271849,27.36650745203569,38.85653820081013,35.31708713970977,17.70376001730713,17.307033840015862,11.91811141353591,11.660197212903512,12.024601108788076,18.547425990858887,19.90061784941883,10.093068571249184,8.57912924595694,4.6641071332112,4.2873786248154575,5.119175048587381,6.164091003474176,5.250994040802072
339,A完整,train,20,71.8,71.8,27.10498041745848,27.271710053916976,24.9808972099459,26.176034900602755,26.243565079831683,35.45452381605347,33.07070770836263,17.186992697958708,16.416929442198292,12.103354301238454,10.870720770603231,11.623944618316656,19.42110960460268,19.817974863713367,9.557003025295032,7.543870367297603,4.587312683260785,4.111490295770189,4.985377244032099,5.93016641761121,5.095616813234338
339,A完整,train,21,70.9,70.9,28.159613677413244,28.191140158417973,26.409891878287016,26.49718144454848,26.79928514300344,31.7008313273971,36.95696264733941,16.79540091045306,15.926538149295672,11.28312519564878,11.276830148024798,11.783749264917098,24.570197961837952,17.142929993733674,9.4704815609609,7.14758295864091,4.5986143928916645,4.179448165630636,5.021684769452923,6.124670070346533,5.1639578736672185
339,A完整,train,22,70.0,70.0,28.63170777484816,28.943789290222767,27.1050540514698,26.63982583131504,26.997776157435588,39.41065744345557,36.682710705331054,16.78482027882766,15.639876634828708,11.27324043218619,11.696993458947432,12.24199022724108,18.39843745780438,18.55891423422212,9.380744575944677,6.768393746612637,4.606558654622152,4.161711281647669,5.11047981305942,6.219324357750404,5.324521995951563
339,A完整,train,23,69.0,69.0,29.42918842718312,27.530498141947536,27.10605068699697,27.49196940348059,27.845991148010924,33.620545298513115,35.13358309966582,16.661702908158876,17.524685034532425,11.997195325558987,11.517075147973337,12.21810713850926,25.45110513144618,21.466381152624656,9.283910806005457,6.442772034834156,4.737075365731383,4.211923970143721,5.144899134787544,6.33813328649542,5.427919685424457
339,A完整,train,24,67.6,67.6,29.92895759688016,29.58504342253131,28.30282034219876,29.164237551242604,28.73263263873404,39.23440662274332,36.06260405394801,17.51711241738926,16.783271126778565,12.282522439059578,11.2818670751786,12.743143498143793,22.039040478234824,22.484865077571712,9.385146674053011,6.429076952065273,4.78317974423266,4.344933403283346,5.31484980838548,6.529829078605768,5.608769635812381
339,A完整,train,25,64.9,64.9,32.6004688618651,31.4168960906862,31.38235583158137,30.8455571309459,30.825330110097727,40.06210092524973,41.04402830519253,17.815341929855066,17.767969673217728,12.683769956903152,13.052005289373636,14.100315745533804,25.47506961807079,21.50852459466171,9.60858088630727,6.573242813034903,5.111244418463959,4.647853527303285,5.6726534627325815,5.54593267183949,6.017912243250434
339,A完整,train,26,62.4,62.4,35.381553270592235,,34.25585183336394,,,42.93282114991452,30.27460071727984,20.136886365891016,,13.530414828962861,,,28.859256527512567,38.92974432345963,10.943894821591975,,5.399064564813219,,,,6.6608371037096825
341,A完整,train,1,96.9,96.9,18.578387171469423,18.850200098268573,17.202050482223097,16.9418838500817,16.92713255204295,19.326614198937417,19.48808186405261,16.74335262771611,15.715486283207529,8.511139121897646,8.710519267109412,9.026757576807736,9.965842303802708,10.578903350665838,11.005543511241278,9.812411854063118,3.942413075859883,3.7069787558850895,4.263869296019824,3.485442925673352,3.9694406402212974
341,A完整,train,2,96.1,96.1,18.81483988949733,19.04136547764748,16.945224051539014,16.923545478757077,17.12754379644148,19.62696486265998,19.598135759383915,17.210582771428623,16.255732863763757,9.05520347995703,9.115374681111309,9.148300394230423,10.324601820831944,11.04765270309045,11.214192637985787,9.969696307990022,4.011319721074384,3.723850354204909,4.267547604231325,3.571662322170873,3.975074143531793
